Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Blackpool,West Bromwich Albion,20:45,https://www.besoccer.com/match/blackpool-fc/west-bromwich/202213077,,2022,19,championship
Coventry City,Birmingham City,20:45,https://www.besoccer.com/match/coventry-city/birmingham-city-fc/202213078,,2022,19,championship
Middlesbrough,Preston North End,20:45,https://www.besoccer.com/match/middlesbrough-fc/preston-north-end/202213080,,2022,19,championship
Nottingham Forest,Luton Town,20:45,https://www.besoccer.com/match/nottingham-forest-fc/luton-town-fc/202213081,,2022,19,championship
Reading,Sheffield United,21:00,https://www.besoccer.com/match/reading-fc/sheffield-united/202213082,,2022,19,championship
Fulham,Derby County,20:45,https://www.besoccer.com/match/fulham/derby-county-fc/202213079,,2022,19,championship
Barnsley,Swansea City,20:45,https://www.besoccer.com/match/barnsley-fc/swansea-city-afc/202213083,,2022,19,championship
Blackburn Rovers,Peterborough United,20:45,https://www.besoccer.com/match/blackburn-rovers-fc/peterborough-u/202213084,,2022,19,championship
Bristol City,Stoke City,20:45,https://www.besoccer.com/match/bristol-city-fc/stoke-city/202213085,,2022,19,championship
Cardiff City,Hull City,20:45,https://www.besoccer.com/match/cardiff-city-fc/hull-city/202213086,,2022,19,championship
Millwall,AFC Bournemouth,20:45,https://www.besoccer.com/match/millwall-fc/afc-bournemouth/202213087,,2022,19,championship
Queens Park Rangers,Huddersfield Town,20:45,https://www.besoccer.com/match/queens-park-rangers-fc/huddersfield-town-fc/202213088,,2022,19,championship
