Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Almere City,MVV Maastricht,20:00,https://www.besoccer.com/match/almere-city/mvv/20222782,,2022,16,eerste_divisie
NAC Breda,Jong Utrecht,20:00,https://www.besoccer.com/match/nac-breda/jong-utrecht/20222783,,2022,16,eerste_divisie
Den Bosch,TOP Oss,20:00,https://www.besoccer.com/match/fc-den-bosch/fc-oss/20222784,,2022,16,eerste_divisie
Dordrecht,De Graafschap,20:00,https://www.besoccer.com/match/fc-dordrecht/graafschap/20222785,,2022,16,eerste_divisie
Emmen,Jong PSV,20:00,https://www.besoccer.com/match/emmen/jong-psv/20222786,,2022,16,eerste_divisie
Helmond Sport,Excelsior,20:00,https://www.besoccer.com/match/helmond-sport/excelsior/20222787,,2022,16,eerste_divisie
Jong Ajax,FC Volendam,20:00,https://www.besoccer.com/match/jong-ajax/fc-volendam/20222788,,2022,16,eerste_divisie
Roda JC,Jong AZ,20:00,https://www.besoccer.com/match/roda-jc/az-alkmaar-sub23/20222789,,2022,16,eerste_divisie
SC Telstar,ADO Den Haag,20:00,https://www.besoccer.com/match/stormvogels-telstar/ado-den-haag/20222790,,2022,16,eerste_divisie
VVV Venlo,FC Eindhoven,20:00,https://www.besoccer.com/match/vvv/fc-eindhoven/20222791,,2022,16,eerste_divisie
