Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Lens,Angers SCO,21:00,https://www.besoccer.com/match/lens/angers-sco/202216144,,2022,15,ligue_1
Lille,Nantes,17:00,https://www.besoccer.com/match/lillestrom/nantes/202216146,,2022,15,ligue_1
Nice,Metz,21:00,https://www.besoccer.com/match/nice/metz/202216156,,2022,15,ligue_1
Saint-Étienne,PSG,13:00,https://www.besoccer.com/match/saint-etienne/paris-saint-germain-fc/202216159,,2022,15,ligue_1
Girondins Bordeaux,Stade Brestois,15:00,https://www.besoccer.com/match/bordeaux/stade-brestois-29/202216138,,2022,15,ligue_1
Lorient,Stade Rennais,15:00,https://www.besoccer.com/match/lorient/stade-rennes/202216148,,2022,15,ligue_1
Monaco,Strasbourg,15:00,https://www.besoccer.com/match/monaco/strasbourg/202216152,,2022,15,ligue_1
Stade de Reims,Clermont,15:00,https://www.besoccer.com/match/stade-reims/clermont-foot/202216158,,2022,15,ligue_1
Montpellier,Olympique Lyonnais,17:00,https://www.besoccer.com/match/montpellier-hsc/olympique-lyonnais/202216155,,2022,15,ligue_1
Olympique Marseille,Troyes,20:45,https://www.besoccer.com/match/olympique-marsella/troyes/202216150,,2022,15,ligue_1
