Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Arsenal,Newcastle,13:30,https://www.besoccer.com/match/arsenal/newcastle-united-fc/20225516,,2022,13,premier_league
Crystal Palace,Aston Villa,16:00,https://www.besoccer.com/match/crystal-palace-fc/aston-villa-fc/20225521,,2022,13,premier_league
Liverpool,Southampton,16:00,https://www.besoccer.com/match/liverpool/southampton-fc/20225523,,2022,13,premier_league
Norwich City,Wolves,16:00,https://www.besoccer.com/match/norwich-city-fc/wolverhampton/20225525,,2022,13,premier_league
Brighton & Hove Albion,Leeds United,18:30,https://www.besoccer.com/match/brighton-amp-hov/leeds-united-afc/20225518,,2022,13,premier_league
Brentford,Everton,15:00,https://www.besoccer.com/match/brentford/everton-fc/20225517,,2022,13,premier_league
Burnley,Tottenham Hotspur,15:00,https://www.besoccer.com/match/burnley-fc/tottenham-hotspur-fc/20225519,,2022,13,premier_league
Leicester,Watford,15:00,https://www.besoccer.com/match/leicester-city-fc/watford-fc/20225522,,2022,13,premier_league
Man. City,West Ham,15:00,https://www.besoccer.com/match/manchester-city-fc/west-ham-united/20225524,,2022,13,premier_league
Chelsea,Man. Utd,17:30,https://www.besoccer.com/match/chelsea-fc/manchester-united-fc/20225520,,2022,13,premier_league
