Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Athletic,Granada,21:00,https://www.besoccer.com/match/athletic-bilbao/granada/202220901,,2022,15,primera_division
Alavés,Celta,14:00,https://www.besoccer.com/match/alaves/celta/202220900,,2022,15,primera_division
Valencia,Rayo Vallecano,16:15,https://www.besoccer.com/match/valencia-cf/rayo-vallecano/202220908,,2022,15,primera_division
Mallorca,Getafe,18:30,https://www.besoccer.com/match/mallorca/getafe/202220903,,2022,15,primera_division
Villarreal,Barcelona,21:00,https://www.besoccer.com/match/villarreal/barcelona/202220910,,2022,15,primera_division
Real Betis,Levante,14:00,https://www.besoccer.com/match/betis/levante/202220902,,2022,15,primera_division
Espanyol,R. Sociedad,16:15,https://www.besoccer.com/match/espanyol/real-sociedad/202220905,,2022,15,primera_division
Cádiz,Atlético,18:30,https://www.besoccer.com/match/cadiz/atletico-madrid/202220904,,2022,15,primera_division
Real Madrid,Sevilla,21:00,https://www.besoccer.com/match/real-madrid/sevilla/202220907,,2022,15,primera_division
Osasuna,Elche,21:00,https://www.besoccer.com/match/osasuna/elche/202220906,,2022,15,primera_division
