Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Fuenlabrada,Mirandés,21:00,https://www.besoccer.com/match/fuenlabrada/mirandes/202221330,,2022,17,segunda_division
Real Oviedo,SD Amorebieta,16:00,https://www.besoccer.com/match/real-oviedo/amorebieta/202221335,,2022,17,segunda_division
Málaga,Las Palmas,18:15,https://www.besoccer.com/match/malaga/ud-palmas/202221334,,2022,17,segunda_division
Almería,Real Valladolid,20:30,https://www.besoccer.com/match/almeria/valladolid/202221326,,2022,17,segunda_division
FC Cartagena,Burgos,14:00,https://www.besoccer.com/match/cartagena/burgos-cf/202221328,,2022,17,segunda_division
Lugo,Eibar,16:00,https://www.besoccer.com/match/lugo/eibar/202221333,,2022,17,segunda_division
Huesca,UD Ibiza,18:15,https://www.besoccer.com/match/huesca/ibiza-eivissa/202221331,,2022,17,segunda_division
Tenerife,Alcorcón,18:15,https://www.besoccer.com/match/tenerife/ad-alcorcon/202221339,,2022,17,segunda_division
Ponferradina,Real Sporting,20:30,https://www.besoccer.com/match/ponferradina-sd/sporting-gijon/202221336,,2022,17,segunda_division
R. Sociedad B,Girona,19:00,https://www.besoccer.com/match/real-sociedad-b/girona-fc/202221337,,2022,17,segunda_division
Real Zaragoza,Leganés,21:00,https://www.besoccer.com/match/real-zaragoza/leganes/202221340,,2022,17,segunda_division
