Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Cagliari,Salernitana,20:45,https://www.besoccer.com/match/cagliari/salernitana-calcio-1919/202248896,,2022,14,serie_a
Empoli,Fiorentina,15:00,https://www.besoccer.com/match/empoli-fc/fiorentina/202248897,,2022,14,serie_a
Sampdoria,Hellas Verona,15:00,https://www.besoccer.com/match/sampdoria/hellas-verona-fc/202248901,,2022,14,serie_a
Juventus,Atalanta,18:00,https://www.besoccer.com/match/juventus-fc/atalanta/202248898,,2022,14,serie_a
Venezia,Inter,20:45,https://www.besoccer.com/match/venezia/internazionale/202248905,,2022,14,serie_a
Udinese,Genoa,12:30,https://www.besoccer.com/match/udinese/genoa/202248904,,2022,14,serie_a
Milan,Sassuolo,15:00,https://www.besoccer.com/match/milan/us-sassuolo-calcio/202248899,,2022,14,serie_a
Spezia,Bologna,15:00,https://www.besoccer.com/match/asd-spezia/bologna/202248903,,2022,14,serie_a
Roma,Torino,18:00,https://www.besoccer.com/match/roma/torino-fc/202248902,,2022,14,serie_a
Napoli,Lazio,20:45,https://www.besoccer.com/match/napoli/lazio/202248900,,2022,14,serie_a
