Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Crotone,Vicenza ,18:00,https://www.besoccer.com/match/fc-crotone/vicenza-calcio/202296266,,2022,14,serie_b
Lecce,Ternana Calcio,20:30,https://www.besoccer.com/match/lecce/ternana-calcio/202296268,,2022,14,serie_b
US Alessandria,Cremonese,14:00,https://www.besoccer.com/match/us-alessandria-1912/us-cremonese/202296261,,2022,14,serie_b
Ascoli,AC Monza,14:00,https://www.besoccer.com/match/ascoli/ac-monza-brianza-1912/202296262,,2022,14,serie_b
Benevento,Reggina,14:00,https://www.besoccer.com/match/benevento-calcio/reggina/202296263,,2022,14,serie_b
Frosinone,Pordenone,14:00,https://www.besoccer.com/match/frosinone-calcio/pordenone/202296267,,2022,14,serie_b
Nuova Cosenza,SPAL,14:00,https://www.besoccer.com/match/nuova-cosenza/spal-1907/2022150206,,2022,14,serie_b
Brescia,Pisa,16:15,https://www.besoccer.com/match/brescia/pisa-calcio/202296264,,2022,14,serie_b
Perugia,Cittadella,18:30,https://www.besoccer.com/match/perugia/as-cittadella/202296269,,2022,14,serie_b
Como,Parma,20:30,https://www.besoccer.com/match/como/parma-fc/202296265,,2022,14,serie_b
