Home_Team,Away_Team,Result,Link,Season,Round,League
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,1,eredivisie
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,1,eredivisie
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,1,eredivisie
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,1,eredivisie
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,1,eredivisie
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,1,eredivisie
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,1,eredivisie
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,1,eredivisie
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,1,eredivisie
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,2,eredivisie
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,2,eredivisie
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,2,eredivisie
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,2,eredivisie
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,2,eredivisie
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,2,eredivisie
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,2,eredivisie
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,2,eredivisie
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,2,eredivisie
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,3,eredivisie
