Home_Team,Away_Team,Result,Link,Season,Round,League
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,1,primeira_liga
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,1,primeira_liga
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,1,primeira_liga
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,1,primeira_liga
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,1,primeira_liga
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,1,primeira_liga
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,1,primeira_liga
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,1,primeira_liga
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,1,primeira_liga
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,2,primeira_liga
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,2,primeira_liga
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,2,primeira_liga
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,2,primeira_liga
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,2,primeira_liga
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,2,primeira_liga
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,2,primeira_liga
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,2,primeira_liga
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,2,primeira_liga
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,3,primeira_liga
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,3,primeira_liga
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,3,primeira_liga
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,3,primeira_liga
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,3,primeira_liga
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,3,primeira_liga
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,3,primeira_liga
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,3,primeira_liga
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,3,primeira_liga
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,4,primeira_liga
