Home_Team,Away_Team,Result,Link,Season,Round,League
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,1,segunda_liga
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,1,segunda_liga
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,1,segunda_liga
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,1,segunda_liga
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,1,segunda_liga
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,1,segunda_liga
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,1,segunda_liga
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,1,segunda_liga
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,1,segunda_liga
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,2,segunda_liga
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,2,segunda_liga
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,2,segunda_liga
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,2,segunda_liga
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,2,segunda_liga
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,2,segunda_liga
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,2,segunda_liga
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,2,segunda_liga
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,2,segunda_liga
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,3,segunda_liga
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,3,segunda_liga
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,3,segunda_liga
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,3,segunda_liga
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,3,segunda_liga
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,3,segunda_liga
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,3,segunda_liga
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,3,segunda_liga
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,3,segunda_liga
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,4,segunda_liga
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,4,segunda_liga
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,4,segunda_liga
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,4,segunda_liga
