Home_Team,Away_Team,Result,Link,Season,Round,League
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,1,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,1,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,1,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,1,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,1,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,1,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,1,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,1,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,1,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,1,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,2,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,2,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,2,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,2,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,2,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,2,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,2,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,2,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,2,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,2,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,3,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,3,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,3,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,3,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,3,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,3,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,3,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,3,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,3,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,3,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,4,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,4,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,4,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,4,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,4,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,4,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,4,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,4,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,4,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,4,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,5,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,5,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,5,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,5,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,5,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,5,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,5,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,5,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,5,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,5,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,6,serie_a
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,6,serie_a
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,6,serie_a
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,6,serie_a
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,6,serie_a
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,6,serie_a
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,6,serie_a
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,6,serie_a
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,6,serie_a
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,6,serie_a
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,7,serie_a
