Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,1,2_liga,18,13,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,1,2_liga,18,13,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,1,2_liga,18,13,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,1,2_liga,18,13,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,1,2_liga,18,13,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,1,2_liga,18,13,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,1,2_liga,18,13,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,1,2_liga,18,13,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,1,2_liga,18,13,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,2,2_liga,18,13,2,1,3,18,0,0,0,1,1,3,0.0,0,0,1,1,3,6,3,1,0,0,3,1,3.0,1,0,0,3,1,0.0,3.0,,
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,2,2_liga,18,13,2,0,2,17,0,0,0,1,0,2,0.0,0,0,1,0,2,4,3,1,0,0,2,0,3.0,1,0,0,2,0,0.0,3.0,,
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,2,2_liga,18,13,1,0,0,9,1,0,1,0,0,0,1.0,0,1,0,0,0,10,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,,
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,2,2_liga,18,13,0,3,0,1,3,1,0,0,3,0,3.0,1,0,0,3,0,15,0,0,0,1,0,3,0.0,0,0,1,0,3,3.0,0.0,,
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,2,2_liga,18,13,2,1,3,14,0,0,0,1,1,3,0.0,0,0,1,1,3,3,3,1,0,0,3,1,3.0,1,0,0,3,1,0.0,3.0,,
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,2,2_liga,18,13,1,1,1,8,1,0,1,0,1,1,1.0,0,1,0,1,1,12,1,0,1,0,1,1,1.0,0,1,0,1,1,1.0,1.0,,
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,2,2_liga,18,13,0,3,0,5,3,1,0,0,3,0,3.0,1,0,0,3,0,13,0,0,0,1,0,3,0.0,0,0,1,0,3,3.0,0.0,,
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,2,2_liga,18,13,1,0,0,11,1,0,1,0,0,0,1.0,0,1,0,0,0,7,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,,
