Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,1,eredivisie,18,13,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,1,eredivisie,18,13,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,1,eredivisie,18,13,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,1,eredivisie,18,13,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,1,eredivisie,18,13,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,1,eredivisie,18,13,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,1,eredivisie,18,13,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,1,eredivisie,18,13,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,1,eredivisie,18,13,2,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,2,eredivisie,18,13,2,0,1,11,0,0,0,1,0,1,0.0,0,0,1,0,1,5,3,1,0,0,1,0,3.0,1,0,0,1,0,0.0,3.0,,
