Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,1,ligue_2,20,15,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,1,ligue_2,20,15,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,1,ligue_2,20,15,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,1,ligue_2,20,15,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,1,ligue_2,20,15,2,0,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,1,ligue_2,20,15,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,1,ligue_2,20,15,0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,1,ligue_2,20,15,1,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,1,ligue_2,20,15,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,1,ligue_2,20,15,2,1,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,2,ligue_2,20,15,1,1,1,12,1,0,1,0,1,1,1.0,0,1,0,1,1,8,1,0,1,0,1,1,1.0,0,1,0,1,1,1.0,1.0,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,2,ligue_2,20,15,2,1,2,17,0,0,0,1,1,2,0.0,0,0,1,1,2,3,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,2,ligue_2,20,15,0,4,0,2,3,1,0,0,4,0,3.0,1,0,0,4,0,16,0,0,0,1,0,4,0.0,0,0,1,0,4,3.0,0.0,,
Dunkerque,Quevilly-Rouen,1-1,https://www.besoccer.com/match/dunkerque/quevilly/202215981,2022,2,ligue_2,20,15,1,1,1,15,1,0,1,0,1,1,1.0,0,1,0,1,1,11,1,0,1,0,1,1,1.0,0,1,0,1,1,1.0,1.0,,
Grenoble,Paris FC,0-4,https://www.besoccer.com/match/grenoble-foot-38/paris-sg/202215982,2022,2,ligue_2,20,15,2,0,4,19,0,0,0,1,0,4,0.0,0,0,1,0,4,1,3,1,0,0,4,0,3.0,1,0,0,4,0,0.0,3.0,,
Le Havre,Guingamp,0-0,https://www.besoccer.com/match/havre-ac/guingamp/202215983,2022,2,ligue_2,20,15,1,0,0,10,1,0,1,0,0,0,1.0,0,1,0,0,0,7,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,,
Pau FC,Nancy,2-1,https://www.besoccer.com/match/pau/nancy/202215984,2022,2,ligue_2,20,15,0,2,1,5,3,1,0,0,2,1,3.0,1,0,0,2,1,18,0,0,0,1,1,2,0.0,0,0,1,1,2,3.0,0.0,,
Toulouse,Ajaccio,2-2,https://www.besoccer.com/match/toulouse-fc/ajaccio/202215985,2022,2,ligue_2,20,15,1,2,2,6,1,0,1,0,2,2,1.0,0,1,0,2,2,13,1,0,1,0,2,2,1.0,0,1,0,2,2,1.0,1.0,,
Valenciennes,Niort,0-0,https://www.besoccer.com/match/valenciennes-afc/chamois-niortais/202215986,2022,2,ligue_2,20,15,1,0,0,14,1,0,1,0,0,0,1.0,0,1,0,0,0,9,1,0,1,0,0,0,1.0,0,1,0,0,0,1.0,1.0,,
Dijon FCO,Sochaux,1-3,https://www.besoccer.com/match/dijon-fco/sochaux/202215980,2022,2,ligue_2,20,15,2,1,3,20,0,0,0,1,1,3,0.0,0,0,1,1,3,4,3,1,0,0,3,1,3.0,1,0,0,3,1,0.0,3.0,,
Bastia,Nîmes,1-1,https://www.besoccer.com/match/bastia/nimes-olympique/202215978,2022,3,ligue_2,20,15,1,1,1,9,2,0,2,0,2,2,1.8,0,2,0,2,2,13,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,,
Amiens SC,Auxerre,1-2,https://www.besoccer.com/match/amiens-sc/auxerre/202215977,2022,3,ligue_2,20,15,2,1,2,17,0,0,0,2,2,4,0.0,0,0,2,2,4,3,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,,
Caen,Rodez,4-0,https://www.besoccer.com/match/caen/rodez/202215979,2022,3,ligue_2,20,15,0,4,0,2,6,2,0,0,8,0,5.4,2,0,0,8,0,16,0,0,0,2,0,8,0.0,0,0,2,0,8,5.4,0.0,,
