Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Brentford,Arsenal,2-0,https://www.besoccer.com/match/brentford/arsenal/20225426,2022,1,premier_league,20,11,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Man. Utd,Leeds United,5-1,https://www.besoccer.com/match/manchester-united-fc/leeds-united-afc/20225431,2022,1,premier_league,20,11,0,5,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Burnley,Brighton & Hove Albion,1-2,https://www.besoccer.com/match/burnley-fc/brighton-amp-hov/20225427,2022,1,premier_league,20,11,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Chelsea,Crystal Palace,3-0,https://www.besoccer.com/match/chelsea-fc/crystal-palace-fc/20225428,2022,1,premier_league,20,11,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Everton,Southampton,3-1,https://www.besoccer.com/match/everton-fc/southampton-fc/20225429,2022,1,premier_league,20,11,0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Leicester,Wolves,1-0,https://www.besoccer.com/match/leicester-city-fc/wolverhampton/20225430,2022,1,premier_league,20,11,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Watford,Aston Villa,3-2,https://www.besoccer.com/match/watford-fc/aston-villa-fc/20225435,2022,1,premier_league,20,11,0,3,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Norwich City,Liverpool,0-3,https://www.besoccer.com/match/norwich-city-fc/liverpool/20225433,2022,1,premier_league,20,11,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Newcastle,West Ham,2-4,https://www.besoccer.com/match/newcastle-united-fc/west-ham-united/20225432,2022,1,premier_league,20,11,2,2,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Tottenham Hotspur,Man. City,1-0,https://www.besoccer.com/match/tottenham-hotspur-fc/manchester-city-fc/20225434,2022,1,premier_league,20,11,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Brentford,Arsenal,2-0,https://www.besoccer.com/match/brentford/arsenal/20225426,2022,2,premier_league,20,11,0,2,0,7,3,1,0,0,2,0,3.0,1,0,0,2,0,18,0,0,0,1,0,2,0.0,0,0,1,0,2,3.0,0.0,,
Man. Utd,Leeds United,5-1,https://www.besoccer.com/match/manchester-united-fc/leeds-united-afc/20225431,2022,2,premier_league,20,11,0,5,1,8,3,1,0,0,5,1,3.0,1,0,0,5,1,20,0,0,0,1,1,5,0.0,0,0,1,1,5,3.0,0.0,,
Burnley,Brighton & Hove Albion,1-2,https://www.besoccer.com/match/burnley-fc/brighton-amp-hov/20225427,2022,2,premier_league,20,11,2,1,2,12,0,0,0,1,1,2,0.0,0,0,1,1,2,5,3,1,0,0,2,1,3.0,1,0,0,2,1,0.0,3.0,,
Chelsea,Crystal Palace,3-0,https://www.besoccer.com/match/chelsea-fc/crystal-palace-fc/20225428,2022,2,premier_league,20,11,0,3,0,3,3,1,0,0,3,0,3.0,1,0,0,3,0,16,0,0,0,1,0,3,0.0,0,0,1,0,3,3.0,0.0,,
Everton,Southampton,3-1,https://www.besoccer.com/match/everton-fc/southampton-fc/20225429,2022,2,premier_league,20,11,0,3,1,6,3,1,0,0,3,1,3.0,1,0,0,3,1,15,0,0,0,1,1,3,0.0,0,0,1,1,3,3.0,0.0,,
Leicester,Wolves,1-0,https://www.besoccer.com/match/leicester-city-fc/wolverhampton/20225430,2022,2,premier_league,20,11,0,1,0,2,3,1,0,0,1,0,3.0,1,0,0,1,0,14,0,0,0,1,0,1,0.0,0,0,1,0,1,3.0,0.0,,
