Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,1,primera_division,20,13,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,1,primera_division,20,13,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,1,primera_division,20,13,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,1,primera_division,20,13,2,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,1,primera_division,20,13,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,1,primera_division,20,13,2,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,1,primera_division,20,13,0,4,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,1,primera_division,20,13,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,1,primera_division,20,13,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,1,primera_division,20,13,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,,
